Town,Median_Price,Avg_Price,Transaction_Count,Flip_Rate,Avg_Days_To_Sell,Avg_YoY_Growth,Recent_Momentum,score_growth,score_momentum,score_flip,score_days,Investment_Score,Rank
East Haven,184900.0,203232.17786446813,9946,0.05610295596219586,460.73577317514577,4.129041718080643,9.787707157879431,0.06958801920052755,0.5240574225918901,0.7576687610828615,0.6460885449554681,0.43,26
New Haven,185000.0,234878.02843428386,24583,0.058007566204287514,465.21490460887605,4.917421378191828,10.942129142226909,0.08989229018255669,0.5538761906289194,0.7972518285366309,0.47182197594564457,0.4278,27
Scotland,180000.0,189182.47619047618,525,0.0380952380952381,455.47809523809525,5.569055784934182,13.350210846879149,0.10667476472514521,0.6160770415645732,0.3834185889145999,0.8506455017236263,0.4264,28
Preston,183753.0,199000.66982749026,1797,0.038953811908736785,463.3789649415693,15.812447026106776,6.41849506576657,0.3704874961525138,0.43703053363407596,0.4012621268850961,0.5432516518692481,0.4225,29
Plainville,175000.0,201679.56858846918,6539,0.04847836060559719,457.98134271295305,3.9989194861156783,10.844604165623311,0.06623679492080617,0.5513571164129141,0.5992085860622244,0.7532533275308992,0.4214,30
Pomfret,216250.0,243406.52728613568,1356,0.045722713864306784,461.3473451327434,6.970357765658931,10.850151995445408,0.14276450242877503,0.551500417088765,0.5419386268712727,0.6222945240989759,0.4171,31
Wolcott,216500.0,235910.35071074378,5445,0.051423324150596875,460.05895316804407,3.9560673128645556,10.31490448018838,0.06513316150421479,0.5376749514304103,0.6604130719325702,0.6724211280064196,0.417,32
New London,160000.0,186845.33333333334,7164,0.04662199888330541,457.84519821328865,3.2747332874400215,11.721439776091522,0.04758579012790928,0.5740058168272062,0.5606282562665734,0.7585502104639161,0.4148,33
Derby,185000.0,205516.30972782258,3968,0.04485887096774194,458.03729838709677,4.002813218879932,11.862701028109768,0.06633707579964804,0.5776546008625633,0.5239855827846074,0.7510762975656178,0.414,34
Stratford,243500.0,259387.2672152224,19445,0.056261249678580615,460.5028027770635,3.2907921013293575,7.862556770841156,0.04799937577116785,0.4743307077459846,0.7609585422226944,0.6551525683169892,0.4096,35
Goshen,265000.0,328063.7343927355,1762,0.030079455164585697,460.6435868331441,13.405357861667458,9.944695130095845,0.30849428000867096,0.5281124284663414,0.21682845439430154,0.6496751772675324,0.4072,36
Plymouth,165000.0,177740.655308552,4116,0.043245869776482024,460.5636540330418,3.837894449516191,13.099867724867725,0.062089686435604946,0.6096106682746156,0.49046295776368254,0.6527850692256649,0.4006,37
Griswold,165500.0,185397.5585348895,4027,0.0494164390365036,460.4909361807797,4.095930968580357,8.950670713615438,0.06873527062736286,0.5024367363017241,0.6187044498284068,0.6556142540368199,0.3969,38
East Windsor,178000.0,206491.64484646512,4201,0.04641751963818139,461.1756724589383,3.682991515536854,11.271513195770082,0.05810024923096643,0.5623841944792203,0.556378612127439,0.6289736779258668,0.3947,39
Montville,190000.0,201141.75668232626,6173,0.05621253847399968,462.73141098331445,3.1233183882422457,7.795066527695998,0.04368618528067783,0.4725874319487503,0.759946188695411,0.5684456003441696,0.3943,40
Windsor Locks,178000.0,200538.3630189067,4866,0.041512535963830664,457.6863953966297,3.5780756126310354,11.018337820528167,0.05539819965928726,0.5558446639701112,0.45443948812680335,0.7647286453720454,0.3917,41
Manchester,176000.0,201562.53585239727,17791,0.05216120510370412,464.76139621156767,3.450124359978655,10.540248389188411,0.05210288772039526,0.5434955940049083,0.67574827852456,0.48946632364683396,0.3899,42
Sharon,300000.0,406905.2339851652,1483,0.033715441672285906,459.7963587322994,6.937431232539633,12.619402067817395,0.14191649824401625,0.5972002203001336,0.29239430824439683,0.6826377139752289,0.3897,43
Naugatuck,173000.0,188103.5031116018,10869,0.04793449259361487,462.5347318060539,3.4543846252774664,10.977845737137848,0.052212608436769656,0.5547987517661485,0.5879055048708719,0.5760976654652694,0.3887,44
Middletown,188000.0,218100.43800761877,13913,0.04966578020556314,461.8159275497736,3.2631245601954637,9.332960782088062,0.047286813942124986,0.5123113047257555,0.6238864487989925,0.6040637016008326,0.3856,45
Windsor,213500.0,229572.6595308819,9763,0.047321520024582606,460.9485813786746,3.641709127738808,9.47938355920138,0.05703704474834631,0.5160934111697415,0.5751662398962868,0.6378089586037845,0.3855,46
Salisbury,380000.0,506336.16073546855,1686,0.04329774614472123,461.4744958481613,6.750069722050685,8.199791194946735,0.1370911088116793,0.48304148699555804,0.4915410921440868,0.6173475563104951,0.3838,47
Norfolk,225000.0,308017.3302990897,769,0.02340702210663199,452.7139141742523,10.59832779589016,7.545515498024236,0.2362008127949083,0.46614151843698526,0.078156844856127,0.958189644431819,0.3819,48
Winchester,150000.0,186856.70455647114,4126,0.043383422200678624,460.844886088221,4.206594690941053,10.33466612451432,0.07158535202897424,0.5381853955281278,0.4933216774980803,0.6418433618708441,0.3815,49
Seymour,220000.0,241244.63720205208,5068,0.04479084451460142,461.181136543015,3.8725372225901333,10.147498663164573,0.06298189140695475,0.5333508521897814,0.5225718049817827,0.6287610904635628,0.3809,50
Lisbon,185000.0,200308.53177626606,1323,0.04686318972033258,459.56991685563116,3.726728743174501,7.988090687345273,0.0592266767212853,0.4775732540486106,0.56564086880025,0.6914477365233367,0.3808,51
Morris,260000.0,325327.28678839956,931,0.031149301825993556,459.90977443609023,9.319997356318074,9.922964612451693,0.20327813738495726,0.5275511282886411,0.2390628263554596,0.6782251250918954,0.379,52
Hebron,262000.0,271144.907376221,2969,0.05321657123610643,467.5964971370832,3.7925531647045054,10.02200839323207,0.060921947362580164,0.5301094332799219,0.6976817050514631,0.37916294934403894,0.3768,53
Bridgewater,410000.0,512076.9299161074,596,0.031879194630872486,456.3942953020134,7.623143046417091,8.099494998981886,0.15957661707887194,0.48045083206779116,0.25423201713845933,0.8149995190084844,0.3731,54
Southbury,236000.0,284384.21629549155,9205,0.04953829440521456,466.4437805540467,3.409443377189479,10.95151492081092,0.05105517208266534,0.5541186256814723,0.6212369413443576,0.42401092197859214,0.372,55
Bozrah,195000.0,220506.3867313916,618,0.032362459546925564,463.7799352750809,7.05636074591943,13.813293295851437,0.14497946040501836,0.6280384805488881,0.26427559841688475,0.5276513674548227,0.3712,56
Voluntown,190000.0,213331.11837655018,887,0.04735062006764374,459.79819616685455,5.175761285640208,4.843437606915121,0.09654568797006997,0.3963467337348292,0.5757710192584578,0.6825662261387038,0.3702,57
Ledyard,220000.0,229159.73110012815,5463,0.05088779059125023,468.0446641039722,3.497069076726168,10.672178052974136,0.05331192227347045,0.5469033427267532,0.6492832037133928,0.3617264171013943,0.3668,58
Thompson,170000.0,192237.1978877154,3598,0.048082267926625906,463.2540300166759,4.500162994296088,7.325382462970281,0.07914603717173214,0.46045547295399714,0.5909766849187935,0.5481124113787175,0.3662,59
East Hampton,220000.0,238466.17532328717,5707,0.04923777816716313,465.86612931487645,4.0038881365703896,8.939864451292244,0.06636475969507903,0.5021576100949023,0.614991382930958,0.4464852121448537,0.3638,60
Woodstock,200000.0,225677.53118480725,3528,0.03599773242630386,463.7791950113379,6.079693841620889,11.921313447947213,0.11982595824432028,0.5791685621132316,0.3398266210971276,0.5276801684008454,0.3628,61
North Haven,275000.0,307881.97302605736,7637,0.04700798742961896,462.70813146523506,2.9503091811705726,8.819072591437735,0.03923043128231385,0.49903755131345173,0.5686501655934562,0.5693513209741461,0.3626,62
Cromwell,189000.0,239293.34625644673,5623,0.050506846878890274,466.98666192423974,4.380495638075053,8.476071436961414,0.07606407228685393,0.49017781717771985,0.641366139986027,0.4028893998347094,0.3624,63
Coventry,200000.0,218952.35264588997,4781,0.0527086383601757,466.25099351600085,3.864942744546144,6.994087140103417,0.06278629993247344,0.451898100937296,0.6871254553550038,0.43151155824410026,0.3597,64
Beacon Falls,238950.0,256468.87297811607,2102,0.0461465271170314,464.8477640342531,5.764892892653349,7.2271200586948465,0.11171843835683941,0.45791735095045083,0.5507466381901537,0.48610606857173266,0.3595,65
Lebanon,190000.0,199936.57153846155,2600,0.043076923076923075,463.78846153846155,4.3609213886849245,9.638178415470989,0.07555994859620603,0.5201950889346996,0.48695177817588964,0.527319641831717,0.359,66
Milford,270000.0,308935.88299218344,19190,0.05002605523710266,466.1148514851485,3.274140220077019,8.82796385166037,0.04757051601435934,0.4992672129360909,0.6313739601859291,0.43680834512469957,0.3582,67
Essex,340000.0,434906.33743502054,2924,0.04240766073871409,461.6665526675787,3.705594776837491,8.976047355648989,0.0586823834053324,0.5030922160245785,0.47304265614549423,0.6098753301724642,0.3576,68
Vernon,170000.0,186122.45963060687,9475,0.04496042216358839,464.2581530343008,3.3581690313198593,9.52087877880421,0.04973463038728951,0.5171652344239406,0.5260960974433896,0.5090456691466088,0.3541,69
Westbrook,290000.0,344170.3743783784,2775,0.036756756756756756,463.07027027027027,4.661887483092494,11.285863995468144,0.08331115965154001,0.5627548762343708,0.3556012455359703,0.5552618288499431,0.3524,70
Hamden,205000.0,226233.74197715882,19351,0.04526897834737223,466.38835202315124,3.3073683744217255,10.521241592774889,0.04842628828270079,0.5430046476602731,0.532508748161145,0.42616744273430385,0.3503,71
Tolland,260000.0,289618.1308314327,4823,0.04665146174580137,468.9709724238026,3.5223633490542854,11.391096672268976,0.053963361910524144,0.5654730406681618,0.5612405760198673,0.3256871592384769,0.3496,72
Sherman,390500.0,458678.46465968585,1528,0.024869109947643978,454.1714659685864,4.051286830312265,11.274748774725083,0.06758548616815106,0.5624677696186691,0.10854307315371081,0.9014816522438807,0.3493,73
Stonington,292000.0,360839.2351119245,7103,0.036885822891735885,461.0466000281571,3.7309317158649806,10.1917894766732,0.05933492189902813,0.5344948857512452,0.358283596714165,0.6339954126078666,0.3479,74
Bristol,174475.0,193735.2686033403,19160,0.038100208768267224,464.01920668058455,4.441802385920362,10.844441940202532,0.07764299280479645,0.5513529261235247,0.3835218932450368,0.5183421950145402,0.347,75
Wallingford,230000.0,254509.90916841573,13817,0.04385901425779837,463.8339002677861,3.1375620437489222,9.036707073706317,0.04405302254933775,0.5046590590737132,0.5032057955509023,0.5255517875999978,0.3463,76
New Hartford,210000.0,242009.25613170344,2536,0.050473186119873815,463.84818611987384,3.530970061601953,4.891996166516921,0.054185022910514455,0.3976010033559997,0.6406665763350249,0.5249959775137008,0.3451,77
Middlefield,240000.0,267724.52655889146,1299,0.03695150115473441,460.18090839107003,3.340074862933569,9.603982492009102,0.04926862534340254,0.5193118068044668,0.35964857263263006,0.6676762977633217,0.3451,77
Prospect,262000.0,269544.34531886026,2948,0.03629579375848033,462.6987788331072,4.195219263030237,10.788492450100401,0.07129238433520452,0.5499077484590604,0.3460211597781464,0.5697151975730463,0.3446,79
Canaan,205000.0,287244.3607678245,547,0.03656307129798903,455.16087751371117,7.686985452911642,0.8467981122510633,0.1612208420471155,0.29311336878260214,0.3515759261242688,0.8629872794266049,0.3441,80
Thomaston,172000.0,193295.8200378072,2645,0.04120982986767486,461.668809073724,3.6667247241021266,7.872046108817512,0.05768130724398991,0.474575817741964,0.4481484184066049,0.6097875416886787,0.3437,81
